Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
0/20,0/20,50,5000,19.94135022163391,,,,0.0,0.0,0.0,-654.49
0/20,1/20,100,10000,22.07238459587097,16.37511643767357,0.2909066886641085,4.363584287464619,0.0,0.0,13.15,-575.71
0/20,2/20,150,15000,38.42647838592529,1573.2245488762856,31.617078704060987,61.94453234411776,0.0,0.0,0.0,-100.0
0/20,3/20,200,20000,37.53627419471741,2329.8263202905655,109.80848699063063,29.27916031330824,0.0,0.0,0.0,-100.0
0/20,4/20,250,25000,37.47557210922241,2774.866297483444,126.67990472912788,30.931215373799205,0.0,0.0,0.0,-100.0
0/20,5/20,300,30000,36.90095067024231,3177.0662887096405,124.90964441001415,37.295754097402096,0.55,0.55,3.9,-250.58
0/20,6/20,350,35000,37.01437997817993,3534.78857922554,131.8279601931572,46.79948497842997,0.37,0.37,1.27,-131.81
0/20,7/20,400,40000,36.485419273376465,3714.929451227188,153.4477278366685,61.34451964683831,0.58,0.58,3.81,-445.58
0/20,8/20,450,45000,36.807899951934814,3703.1723322868347,161.2549674808979,79.80337754637003,0.64,0.64,3.29,-369.87
0/20,9/20,500,50000,37.17034101486206,3681.410203933716,159.9341762959957,105.29259714484215,0.57,0.57,4.58,-433.9
0/20,10/20,550,55000,37.291788816452026,3660.34556722641,157.93411318212748,143.95722225680947,0.69,0.69,3.29,-333.22
0/20,11/20,600,60000,37.69730257987976,3625.5829260349274,153.802055247128,175.8719537705183,0.67,0.67,3.66,-332.52
0/20,12/20,650,65000,37.48406195640564,3581.276405096054,151.69967263936996,203.95219602808356,0.71,0.71,3.72,-286.72
0/20,13/20,700,70000,37.815731048583984,3563.241843700409,149.2567884400487,234.7652100250125,0.71,0.71,3.52,-293.47
0/20,14/20,750,75000,37.6976420879364,3537.1627905368805,147.59418469667435,288.1442563869059,0.66,0.66,4.01,-342.95
0/20,15/20,800,80000,37.831374406814575,3566.838544845581,144.90052416920662,326.0116712413728,0.76,0.76,3.88,-238.49
0/20,16/20,850,85000,38.36109662055969,3541.747648000717,142.94159872084856,352.751799762249,0.76,0.76,4.33,-238.52
0/20,17/20,900,90000,37.42679047584534,3521.9338331222534,141.48587895184755,329.96678452193737,0.79,0.79,2.93,-208.52
0/20,18/20,950,95000,37.5590558052063,3468.669944524765,139.89084803313017,401.0142106562853,0.72,0.72,4.37,-275.62
0/20,19/20,1000,100000,37.9603807926178,3461.39577627182,136.38435710966587,427.12062445282936,0.77,0.77,3.12,-226.86
1/20,0/20,1050,105000,37.272773027420044,3447.5641350746155,137.03873012959957,465.30578419938684,0.66,0.66,3.91,-331.18
1/20,1/20,1100,110000,37.569122076034546,3384.7415599823,136.4850913286209,489.20770347863436,0.73,0.73,3.07,-274.61
1/20,2/20,1150,115000,37.443764448165894,3358.7499766349792,136.18880290538073,499.3739444054663,0.69,0.69,3.74,-312.75
1/20,3/20,1200,120000,37.51607918739319,3382.6626732349396,134.3411600291729,475.0106747597456,0.73,0.73,4.55,-268.27
1/20,4/20,1250,125000,37.13648200035095,3328.9416885375977,133.36960604786873,532.9076644554734,0.73,0.73,4.09,-300.34
1/20,5/20,1300,130000,37.311678886413574,3302.9496142864227,132.18696117401123,563.9220629036427,0.73,0.73,2.67,-281.02
1/20,6/20,1350,135000,37.00050210952759,3284.556805372238,129.19241666793823,543.3491999059916,0.63,0.63,3.74,-357.59
1/20,7/20,1400,140000,37.47534894943237,3294.262209177017,128.99134829640388,596.6536764800549,0.87,0.87,2.19,-136.75
