Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
0/20,0/20,50,5000,62.20311498641968,,,,0.0,0.0,0.0,-713.8
0/20,1/20,100,10000,65.28112721443176,6.7470100075006485,0.1577290161512792,3.601477026939392,0.0,0.0,0.0,-869.95
0/20,2/20,150,15000,85.13552379608154,769.4229190647602,17.28997134009842,32.74623671453446,0.0,0.0,0.0,-395.92
0/20,3/20,200,20000,87.7225730419159,1418.5884912610054,75.52241403982043,41.505910710431635,0.0,0.0,0.0,-115.03
0/20,4/20,250,25000,87.89600443840027,1881.4905313253403,98.81228572875261,43.58534795045853,0.0,0.0,0.0,-153.28
0/20,5/20,300,30000,87.05986666679382,2282.4672408103943,105.76735738664865,42.71196750551462,0.0,0.0,0.0,-322.12
0/20,6/20,350,35000,86.32568597793579,2698.6084188222885,107.78545509278774,45.33219703473151,0.0,0.0,0.0,-560.26
0/20,7/20,400,40000,87.85558795928955,3094.6195356845856,115.89688880741596,47.525161450728774,0.0,0.0,0.0,-490.15
0/20,8/20,450,45000,86.61038589477539,3496.113300561905,117.39840898662806,53.077625036239624,0.0,0.0,0.0,-229.6
0/20,9/20,500,50000,87.9141366481781,3824.89120388031,120.45337846875191,52.06412683054805,0.0,0.0,0.0,-277.84
0/20,10/20,550,55000,85.62115168571472,4126.99241399765,120.24251950532198,48.619471944868565,0.0,0.0,0.0,-277.48
0/20,11/20,600,60000,84.03855347633362,4418.299807310104,118.38150276988745,45.784321412444115,0.0,0.0,0.0,-480.97
0/20,12/20,650,65000,84.20686507225037,4715.030925273895,114.86689758300781,45.80551617965102,0.0,0.0,0.0,-466.84
0/20,13/20,700,70000,85.18034386634827,4981.380811214447,109.8989567309618,46.31389392539859,0.0,0.0,0.0,-442.18
0/20,14/20,750,75000,84.16881895065308,5263.0239334106445,110.63335181772709,46.85901235975325,0.0,0.0,3.36,-751.27
0/20,15/20,800,80000,84.18238377571106,5467.967668056488,108.67308291047812,50.848651729524136,0.0,0.0,4.56,-406.72
0/20,16/20,850,85000,77.80666708946228,5701.00285243988,109.43968672305346,54.39813172072172,0.0,0.0,0.0,-853.75
0/20,17/20,900,90000,79.65949773788452,5801.647625923157,113.70944169163704,55.77746442332864,0.0,0.0,7.95,-759.67
0/20,18/20,950,95000,82.94489645957947,5987.336724758148,115.37994652241468,57.86728670820594,0.0,0.0,18.23,-884.86
0/20,19/20,1000,100000,88.72043800354004,6159.446054458618,110.88852733373642,64.97458483092487,0.0,0.0,35.45,-557.8
1/20,0/20,1050,105000,87.80781435966492,6322.62547826767,109.73395326733589,73.11024912819266,0.0,0.0,11.48,-523.87
1/20,1/20,1100,110000,85.04531502723694,6436.89929485321,108.38972407579422,81.12232391908765,0.0,0.0,4.81,-652.66
1/20,2/20,1150,115000,85.43577671051025,6591.816488742828,109.86488226801157,84.7225936204195,0.0,0.0,9.46,-512.68
1/20,3/20,1200,120000,84.08704352378845,6696.156343698502,112.21623194217682,90.37947437912226,0.0,0.0,29.39,-889.51
1/20,4/20,1250,125000,85.04514384269714,6819.178427696228,111.96214959770441,109.1341815367341,0.0,0.0,14.17,-806.17
1/20,5/20,1300,130000,82.92255640029907,6955.368679046631,109.22890008240938,110.50275960937142,0.0,0.0,0.74,-923.5
1/20,6/20,1350,135000,84.00375962257385,7095.597388744354,112.83445803076029,115.33066334575415,0.01,0.01,37.89,-943.62
1/20,7/20,1400,140000,84.72801685333252,7152.582467079163,111.22810982167721,129.24969923123717,0.0,0.0,6.48,-702.65
1/20,8/20,1450,145000,82.32496523857117,7263.887709140778,113.02445093542337,147.0949431285262,0.0,0.0,10.93,-900.37
1/20,9/20,1500,150000,83.60658240318298,7329.817150592804,114.0535558834672,159.37403969839215,0.0,0.0,13.96,-908.59
1/20,10/20,1550,155000,88.17289161682129,7444.098474979401,114.73145505785942,197.41952666640282,0.01,0.01,29.43,-620.45
1/20,11/20,1600,160000,89.30488562583923,7534.8790073394775,115.35168995708227,246.38484025746584,0.04,0.04,39.71,-638.83
1/20,12/20,1650,165000,82.91906237602234,7593.769124031067,119.19451110064983,275.5115207955241,0.0,0.0,15.25,-938.08
1/20,13/20,1700,170000,90.0983316898346,7573.257343292236,123.75230360031128,324.0590410158038,0.0,0.0,39.9,-530.58
1/20,14/20,1750,175000,84.2218587398529,7589.292435646057,127.2765225470066,386.7118725478649,0.01,0.01,8.79,-786.3
1/20,15/20,1800,180000,87.02100443840027,7570.906576156616,126.47948515415192,478.43352587521076,0.0,0.0,25.68,-633.31
1/20,16/20,1850,185000,85.72725009918213,7434.1445207595825,129.3332794085145,520.3496114909649,0.01,0.01,5.44,-687.44
1/20,17/20,1900,190000,89.42036271095276,7373.860457897186,135.48523791134357,568.5929596722126,0.01,0.01,5.39,-347.11
1/20,18/20,1950,195000,85.70619940757751,7277.898128032684,138.507306098938,646.5511497408152,0.0,0.0,3.87,-639.46
