Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
0/20,0/20,50,5000,70.88598442077637,,,,0.0,0.0,0.0,-618.31
0/20,1/20,100,10000,67.38249850273132,10.207538962364197,0.2010973822325468,3.2956190928816795,0.0,0.0,0.0,-863.38
0/20,2/20,150,15000,84.44723153114319,942.6096648573875,22.18250032654032,28.58380899950862,0.0,0.0,0.0,-809.11
0/20,3/20,200,20000,91.41226077079773,1539.7940652370453,81.87406823784113,33.85733773931861,0.0,0.0,0.0,-142.57
0/20,4/20,250,25000,84.41929244995117,2037.3995517492294,107.65122271329165,40.827535692602396,0.0,0.0,0.0,-819.46
0/20,5/20,300,30000,84.03678441047668,2465.228260040283,114.1169356778264,45.52302666567266,0.0,0.0,0.0,-813.16
0/20,0/20,50,5000,63.05352187156677,,,,0.0,0.0,0.0,-781.21
0/20,1/20,100,10000,69.35547041893005,8.752315774559975,0.14823616365902126,3.6189815774559975,0.0,0.0,0.0,-665.2
0/20,2/20,150,15000,91.8652024269104,854.7038912475109,18.0732964547351,36.08050618413836,0.0,0.0,0.57,-210.46
0/20,3/20,200,20000,87.68519997596741,1581.3781813383102,82.19971220009029,41.96883929986507,0.0,0.0,0.0,-628.3
0/20,4/20,250,25000,87.72899198532104,2009.1448234319687,109.17138760536909,45.409416226670146,0.0,0.0,0.0,-716.14
0/20,5/20,300,30000,91.26470875740051,2413.4281101226807,115.4780574887991,44.656370144337416,0.0,0.0,0.0,-547.93
0/20,6/20,350,35000,93.72711110115051,2778.7196177244186,115.07917539775372,46.53291621431708,0.0,0.0,0.0,-155.08
0/20,7/20,400,40000,93.08109021186829,3167.5219712257385,115.98410554975271,47.23991669341922,0.0,0.0,0.0,-302.86
0/20,8/20,450,45000,91.55913472175598,3528.042407274246,117.65194294601679,49.47006996721029,0.0,0.0,0.0,-685.27
0/20,9/20,500,50000,92.52498126029968,3901.2301626205444,121.09174051135778,56.489894626662135,0.0,0.0,0.79,-538.45
0/20,10/20,550,55000,93.13847851753235,4247.605069875717,127.69742554426193,65.3614348936826,0.0,0.0,0.7,-310.51
0/20,11/20,600,60000,87.17926502227783,4534.537328004837,137.18580719083548,67.99964407086372,0.0,0.0,4.66,-713.37
0/20,12/20,650,65000,89.33043456077576,4737.420026063919,145.73254067450762,74.02567797154188,0.0,0.0,6.3,-683.89
0/20,13/20,700,70000,84.94146609306335,4895.118287801743,146.59746266156435,86.63701942190528,0.01,0.01,5.01,-910.27
0/20,14/20,750,75000,85.63448333740234,5069.123912096024,137.9895710274577,101.9900987483561,0.01,0.01,8.65,-901.73
0/20,15/20,800,80000,85.86604356765747,5262.9141047000885,138.15766251832247,136.63133608922362,0.0,0.0,7.33,-917.59
0/20,16/20,850,85000,85.75152230262756,5397.341025829315,142.64268920570612,166.93590144440532,0.0,0.0,6.43,-882.78
0/20,17/20,900,90000,86.4610607624054,5489.9865753650665,144.6734494715929,205.5503363162279,0.01,0.01,5.43,-876.24
0/20,18/20,950,95000,91.18762969970703,5623.918722629547,140.57913372665644,235.3997724801302,0.0,0.0,12.46,-607.33
0/20,19/20,1000,100000,85.62969708442688,5841.075599193573,133.2031802535057,258.57390601187944,0.0,0.0,5.84,-920.03
1/20,0/20,1050,105000,89.63069319725037,6046.826380729675,132.94567716121674,291.3480730652809,0.04,0.04,5.35,-660.77
1/20,1/20,1100,110000,88.0481767654419,6128.604638576508,137.24228101223707,311.1642369925976,0.01,0.01,7.98,-807.32
1/20,2/20,1150,115000,88.01324391365051,6290.861565113068,143.459047190845,355.07607877254486,0.02,0.02,9.53,-844.61
1/20,3/20,1200,120000,88.04598665237427,6346.271312236786,146.45726644992828,376.6904187053442,0.01,0.01,7.4,-803.1
1/20,4/20,1250,125000,88.55342364311218,6456.833915233612,146.9158906787634,415.7502017915249,0.01,0.01,7.64,-740.32
1/20,5/20,1300,130000,89.07514381408691,6507.120081424713,143.1631898805499,461.26096676290035,0.05,0.05,8.11,-766.68
1/20,6/20,1350,135000,87.67708992958069,6657.00236082077,145.36116065084934,483.8648126870394,0.06,0.06,7.06,-743.69
1/20,7/20,1400,140000,90.9754364490509,6717.9727602005005,145.32244016230106,512.8043739199638,0.16,0.16,6.41,-575.84
1/20,8/20,1450,145000,95.76891565322876,6761.083371639252,144.74196904152632,547.9201839715242,0.13,0.13,7.82,-260.81
1/20,9/20,1500,150000,92.66980862617493,6825.338283061981,143.76473151892424,566.5599090903997,0.23,0.23,8.36,-442.26
1/20,10/20,1550,155000,89.67532134056091,6817.528545379639,145.1866410896182,570.4247543662786,0.11,0.11,8.43,-748.22
1/20,11/20,1600,160000,88.04542326927185,6847.469820022583,146.71156573295593,558.6453467011452,0.21,0.21,6.12,-776.78
1/20,12/20,1650,165000,87.22144198417664,6823.764518260956,148.85297392308712,587.4179100245237,0.05,0.05,4.03,-810.53
1/20,13/20,1700,170000,92.4720070362091,6839.190776348114,150.5678390264511,592.6333644390106,0.06,0.06,4.99,-405.57
1/20,14/20,1750,175000,89.34401774406433,6851.937203407288,152.64286395907402,587.026658654213,0.13,0.13,3.09,-603.01
1/20,15/20,1800,180000,88.4455235004425,6879.31290435791,152.15781576931477,591.1467581689358,0.06,0.06,3.14,-710.45
1/20,16/20,1850,185000,87.67686343193054,6862.904469966888,152.0797835290432,599.3936490565538,0.04,0.04,3.18,-819.03
1/20,17/20,1900,190000,90.5873761177063,6893.356019020081,151.24808571487665,575.1055617183447,0.19,0.19,4.52,-613.93
1/20,18/20,1950,195000,88.33594870567322,6842.229199886322,149.09876163303852,595.5894593298435,0.01,0.01,7.19,-844.54
1/20,19/20,2000,200000,91.85633254051208,6887.853047847748,149.9166589230299,591.350452452898,0.24,0.24,4.89,-462.9
2/20,0/20,2050,205000,90.1464192867279,6893.239831447601,149.66390612721443,583.70139734447,0.07,0.07,3.56,-655.12
2/20,1/20,2100,210000,90.12494540214539,6919.190780162811,150.30008613318205,579.1842199862003,0.19,0.19,4.56,-678.73
2/20,2/20,2150,215000,88.2940993309021,6934.280982494354,151.22768734395504,580.2228537499905,0.14,0.14,2.79,-806.17
2/20,3/20,2200,220000,86.655690908432,6976.741323471069,152.76487158983946,597.9955072253942,0.16,0.16,2.83,-737.2
2/20,4/20,2250,225000,87.37308359146118,7024.411026000977,153.47679119557142,566.5639590620995,0.14,0.14,3.28,-837.24
